Hard Skills,LOW,TODO_LEARNING_PERSONALITY,Analyze/Apply,Office Skills,Wikipedia,,https://en.wikipedia.org/wiki/Accountant
Hard Skills,LOW,TODO_LEARNING_PERSONALITY,Analyze/Apply,Office Skills,Truity,,https://www.truity.com/career-profile/chemical-engineer
Hard Skills,LOW,Visual,TODO_BLOOM,Office Skills,Buyer,You Tube,https://www.youtube.com/watch?v=XrlTY70wLDA
Hard Skills,LOW,Visual,TODO_BLOOM,Office Skills,Training and Development,You Tube,https://www.youtube.com/watch?v=VNEWcry-U10
Hard Skills,LOW,Visual,TODO_BLOOM,Office Skills,Curator,You Tube,https://www.youtube.com/watch?v=GMZVUtUhNwo
Hard Skills,LOW,Visual,TODO_BLOOM,Office Skills,Construction Manager,You Tube,https://www.youtube.com/watch?v=jNgsSdRqsh0
Hard Skills,LOW,Visual,TODO_BLOOM,Office Skills,TV News Reporter,You Tube,https://www.youtube.com/watch?v=JpdBO9pJpVE
Hard Skills,LOW,Visual,TODO_BLOOM,Office Skills,Announcer,You Tube,https://www.youtube.com/watch?v=q58q40Izit4
Hard Skills,LOW,TODO_LEARNING_PERSONALITY,Analyze/Apply,Office Skills,Target Jobs,,https://targetjobs.co.uk/careers-advice/job-descriptions/278865-retail-buyer-job-description
Hard Skills,LOW,Visual,TODO_BLOOM,Office Skills,Project Management Certification,You Tube,https://www.youtube.com/watch?v=q0JbHtKCUts
Hard Skills,LOW,Visual,TODO_BLOOM,Office Skills,Construction Manager,You Tube,https://www.youtube.com/watch?v=fKqZMWIum6o
Hard Skills,LOW,Visual,TODO_BLOOM,Office Skills,Architecture Project Management,You Tube,https://www.youtube.com/watch?v=eZkwsgRChjE
Hard Skills,LOW,Visual,TODO_BLOOM,Office Skills,Chief Security Officer,You Tube,https://www.youtube.com/watch?v=ygYLqWTE4ho
Hard Skills,LOW,Visual,TODO_BLOOM,Office Skills,Landscape Project Management,You Tube,https://www.youtube.com/watch?v=ckPwqfRpp5Y
Hard Skills,LOW,Visual,TODO_BLOOM,Office Skills,Information and Communications Technology (ICT) Project Management,You Tube,https://www.youtube.com/watch?v=c4RruG8hgb0
Hard Skills,LOW,Visual,TODO_BLOOM,Office Skills,College Professor,You Tube,https://www.youtube.com/watch?v=LNZUIue7xTw
Hard Skills,LOW,Visual,TODO_BLOOM,Office Skills,Curriculum Developer,You Tube,https://www.youtube.com/watch?v=bJ56oxtVL3E
Hard Skills,LOW,Visual,TODO_BLOOM,Office Skills,School Principal,You Tube,https://www.youtube.com/watch?v=huo-r7QYbOo
Hard Skills,LOW,Visual,TODO_BLOOM,Office Skills,Librarian,You Tube,https://www.youtube.com/watch?v=r1V28jooZY4
Hard Skills,LOW,Visual,TODO_BLOOM,Office Skills,Social Worker,You Tube,https://www.youtube.com/watch?v=WPzgL-7vkbY
